"$ACTION","$COMPANY","$EE_SSN","$PLAN_ID","$EFFECTIVE_DATE","$DEDN_START","$PREMIUM","$CONTRIB","$SECTION_125"
"C","201043","594-408-432","MPI","2023-09-01","2023-09-01","33.3","33.3","N"
"N","210336","539-135-331","MPI","2023-09-01","2023-09-01","85.32","85.32","N"
"C","181240","454-825-749","GPC","2023-09-01","2023-09-01","172.5","172.5","N"
"N","220113","477-234-274","MPI","2023-09-01","2023-09-01","11.87","11.87","N"
"C","201187","103-867-469","GPC","2023-09-01","2023-09-01","241.72","241.72","N"
"N","121016","143-807-272","MPI","2023-09-01","2023-09-01","34.47","34.47","N"
"C","201214","056-787-804","MPI","2023-09-01","2023-09-01","34.66","34.66","N"
"C","131065","260-196-460","GPC","2023-09-01","2023-09-01","0.0","0.0","N"
"C","161145","260-157-121","GPC","2023-09-01","2023-09-01","224.69","224.69","N"
"C","210012","193-720-793","MPI","2023-09-01","2023-09-01","76.44","76.44","N"
"N","220133","629-509-850","MPI","2023-09-01","2023-09-01","38.68","38.68","N"
"C","191199","071-404-615","MPI","2023-09-01","2023-09-01","32.29","32.29","N"
"C","191601","081-446-679","GPC","2023-09-01","2023-09-01","113.61","113.61","N"
"N","210114","033-462-929","GPC","2023-09-01","2023-09-01","286.74","286.74","N"
"C","210215","168-748-666","GPC","2023-09-01","2023-09-01","297.86","297.86","N"
"N","210056","232-153-179","MPI","2023-09-01","2023-09-01","36.18","36.18","N"
"C","171127","270-846-486","GPC","2023-09-01","2023-09-01","0.0","0.0","N"
"N","210038","738-262-360","MPI","2023-09-01","2023-09-01","89.62","89.62","N"
"N","210013","090-545-688","MPI","2023-09-01","2023-09-01","74.14","74.14","N"
"C","210340","452-556-080","GPC","2023-09-01","2023-09-01","0.0","0.0","N"
"N","220010","430-296-653","MPI","2023-09-01","2023-09-01","54.76","54.76","N"
"C","220010","600-389-737","GPC","2023-09-01","2023-09-01","277.09","277.09","N"
"N","181193","539-152-501","MPI","2023-09-01","2023-09-01","65.72","65.72","N"
"N","181193","124-568-302","MPI","2023-09-01","2023-09-01","115.1","115.1","N"
"C","181193","111-741-993","MPI","2023-09-01","2023-09-01","94.49","94.49","N"
"C","181123","510-804-316","GPC","2023-09-01","2023-09-01","0.0","0.0","N"
"N","210360","614-787-559","MPI","2023-09-01","2023-09-01","66.93","66.93","N"
"N","210360","610-648-079","MPI","2023-09-01","2023-09-01","64.12","64.12","N"
"C","210360","180-767-945","MPI","2023-09-01","2023-09-01","54.7","54.7","N"
"N","220002","147-981-085","MPI","2023-09-01","2023-09-01","72.93","72.93","N"
"N","220031","396-945-532","MPI","2023-09-01","2023-09-01","70.39","70.39","N"
"N","220016","140-824-307","MPI","2023-09-01","2023-09-01","31.16","31.16","N"
"C","210199","590-111-404","MPI","2023-09-01","2023-09-01","26.8","26.8","N"
"N","220001","333-742-063","MPI","2023-09-01","2023-09-01","25.28","25.28","N"
"N","220001","215-923-764","MPI","2023-09-01","2023-09-01","55.97","55.97","N"
"C","220005","070-643-116","MPI","2023-09-01","2023-09-01","32.42","32.42","N"
"N","220005","056-642-435","MPI","2023-09-01","2023-09-01","30.08","30.08","N"
"C","171038","255-791-362","MPI","2023-09-01","2023-09-01","71.89","71.89","N"
"N","201174","467-893-997","GPC","2023-09-01","2023-09-01","853.85","853.85","N"
"C","210207","489-760-002","GPC","2023-09-01","2023-09-01","243.79","243.79","N"
"N","191615","855-731-535","GPC","2023-09-01","2023-09-01","198.54","198.54","N"
"N","141022","833-837-838","MPI","2023-09-01","2023-09-01","114.27","114.27","N"
"N","141022","833-837-838","MPI","2023-09-01","2023-09-01","25.36","25.36","N"
"N","171098","309-949-230","MPI","2023-09-01","2023-09-01","22.64","22.64","N"
"N","201243","044-827-807","GPC","2023-09-01","2023-09-01","0.0","0.0","N"
"N","171140","636-065-076","GPC","2023-09-01","2023-09-01","402.08","402.08","N"
"N","201245","554-776-037","GPC","2023-09-01","2023-09-01","0.0","0.0","N"
"N","201098","213-114-279","MPI","2023-09-01","2023-09-01","111.27","111.27","N"
"N","220163","608-941-445","MPI","2023-09-01","2023-09-01","179.69","179.69","N"
"N","220151","094-785-306","MPI","2023-09-01","2023-09-01","61.82","61.82","N"
"N","230055","303-940-614","MPI","2023-09-01","2023-09-01","65.28","65.28","N"
"N","181291","625-353-690","MPI","2023-09-01","2023-09-01","24.95","24.95","N"
"N","181291","624-380-020","MPI","2023-09-01","2023-09-01","50.47","50.47","N"
"N","181291","650-975-628","GPC","2023-09-01","2023-09-01","0.0","0.0","N"
"C","181059","450-999-982","MPI","2023-09-01","2023-09-01","95.27","95.27","N"
"N","220087","117-780-340","MPI","2023-09-01","2023-09-01","33.16","33.16","N"
"C","152003","128-649-328","GPC","2023-09-01","2023-09-01","438.83","438.83","N"
"C","141095","449-598-221","GPC","2023-09-01","2023-09-01","528.69","528.69","N"
"N","201264","767-562-217","MPI","2023-09-01","2023-09-01","21.13","21.13","N"
"N","201000","540-157-372","GPC","2023-09-01","2023-09-01","202.12","202.12","N"
"C","220202","022-525-327","MPI","2023-09-01","2023-09-01","57.95","57.95","N"
"N","191602","214-967-807","GPC","2023-09-01","2023-09-01","1145.79","1145.79","N"
"N","220322","117-861-310","MPI","2023-09-01","2023-09-01","34.21","34.21","N"
"C","230031","152-884-605","MPI","2023-09-01","2023-09-01","89.69","89.69","N"
"C","220326","060-660-422","MPI","2023-09-01","2023-09-01","51.06","51.06","N"
"N","230053","245-770-852","MPI","2023-09-01","2023-09-01","66.67","66.67","N"
"N","900003","592-649-171","MPI","2023-09-01","2023-09-01","53.32","53.32","N"
"C","900003","509-583-089","GPC","2023-09-01","2023-09-01","299.36","299.36","N"
"N","900003","267-777-289","GPC","2023-09-01","2023-09-01","224.52","224.52","N"
"N","900007","560-792-610","MPI","2023-09-01","2023-09-01","93.36","93.36","N"
"N","210022","647-262-247","MPI","2023-09-01","2023-09-01","43.82","43.82","N"
"N","210022","543-399-942","GPC","2023-09-01","2023-09-01","160.95","160.95","N"
